case_id,girdi_turu,basarili,sure_saniye,iterasyon_sayisi
CASE-001,missing_startuml,True,23.289,3
CASE-002,missing_enduml,True,11.742,3
CASE-003,no_class,True,13.696,3
CASE-004,duplicate_class,True,11.979,3
CASE-005,empty_diagram,True,9.438,3
CASE-006,missing_both_tags,True,4.064,1
CASE-007,duplicate_and_missing_end,True,20.417,3
CASE-008,lowercase_duplicate,True,17.354,3
CASE-009,only_relation,True,8.676,3
CASE-010,comment_only,True,13.553,3
CASE-011,duplicate_repository,True,21.445,3
CASE-012,missing_start_duplicate,True,19.409,3
CASE-013,no_class_with_tags,True,11.092,3
CASE-014,missing_end_duplicate,True,15.254,3
CASE-015,minimal_invalid,True,13.998,3
CASE-016,duplicate_with_relation,True,13.141,3
CASE-017,no_class_relation_with_tags,True,4.29,1
CASE-018,missing_start_no_class,True,9.64,3
CASE-019,missing_end_no_class,True,16.27,3
CASE-020,empty_string,True,28.574,3
