case_id,girdi_turu,basarili,sure_saniye,iterasyon_sayisi
BUGRA-001,missing_startuml,True,23.289,3
BUGRA-002,missing_enduml,True,11.742,3
BUGRA-003,no_class,True,13.696,3
BUGRA-004,duplicate_class,True,11.979,3
BUGRA-005,empty_diagram,True,9.438,3
BUGRA-006,missing_both_tags,True,4.064,1
BUGRA-007,duplicate_and_missing_end,True,20.417,3
BUGRA-008,lowercase_duplicate,True,17.354,3
BUGRA-009,only_relation,True,8.676,3
BUGRA-010,comment_only,True,13.553,3
BUGRA-011,duplicate_repository,True,21.445,3
BUGRA-012,missing_start_duplicate,True,19.409,3
BUGRA-013,no_class_with_tags,True,11.092,3
BUGRA-014,missing_end_duplicate,True,15.254,3
BUGRA-015,minimal_invalid,True,13.998,3
BUGRA-016,duplicate_with_relation,True,13.141,3
BUGRA-017,no_class_relation_with_tags,True,4.29,1
BUGRA-018,missing_start_no_class,True,9.64,3
BUGRA-019,missing_end_no_class,True,16.27,3
BUGRA-020,empty_string,True,28.574,3
